2022-07-21	Store model and time cast	Branch: task/merchant-cms-create-stores-model	60	laravel,php,livewire,tailwind-css
2022-07-21	Store Migration	Branch: task/merchant-cms-create-stores-migration	60	laravel,php,livewire,tailwind-css
2022-07-25	Add and Edit form	Branch: task/merchant-cms-create-stores-livewire-form	60	laravel,php,livewire,tailwind-css
2022-07-26	Datatables sortables - and fixes	Branch: task/merchant-cms-create-stores-livewire-datatables-sortables	60	laravel,php,livewire,tailwind-css
2022-07-26	Task/merchant cms create stores livewire datatables searchables	Branch: task/merchant-cms-create-stores-livewire-datatables-searchables	60	laravel,php,livewire,tailwind-css
2022-07-26	8. Data tables livewire	Branch: task/merchant-cms-create-stores-livewire-datatables	60	laravel,php,livewire,tailwind-css
2022-08-05	More tests and fixes	Branch: task/merchant-cms-create-stores-tests-3	60	laravel,php,livewire,tailwind-css,tdd
2022-08-05	Improve service	Branch: task/merchant-cms-settings-service	60	laravel,php,livewire,tailwind-css
2022-08-05	Model, factory and service	Branch: task/merchant-cms-settings-model	60	laravel,php,livewire,tailwind-css
2022-08-05	Task/merchant cms settings database	Branch: task/merchant-cms-settings-database	60	laravel,php,livewire,tailwind-css
2022-08-05	Tests and fixes	Branch: task/merchant-cms-create-stores-tests-2	60	laravel,php,livewire,tailwind-css,tdd
2022-08-05	CMS Stores - Query string and bug fixes	Branch: task/merchant-cms-create-stores-query-string	60	laravel,php,livewire,tailwind-css
2022-08-05	First tests	Branch: task/merchant-cms-create-stores-tests-1	60	laravel,php,livewire,tailwind-css,tdd
2022-08-10	Task/merchant cms settings ui 2	Branch: task/merchant-cms-settings-ui-2	120	laravel,php,livewire,tailwind-css
2022-08-10	Basic UI and component	Branch: task/merchant-cms-settings-ui-1	120	laravel,php,livewire,tailwind-css
2022-08-11	Task/merchant cms create stores review updates	Branch: task/merchant-cms-create-stores-review-updates	180	laravel,php,livewire,tailwind-css
2022-08-24	Uniqueness bugs	Branch: task/merchant-cms-create-stores-mainstore-bug	120	laravel,php,livewire,tailwind-css
2022-08-26	Task/merchant cms settings updates1 tests	Branch: task/merchant-cms-settings-updates1-tests	240	laravel,php,livewire,tailwind-css,tdd
2022-08-26	Settings updates and fix	Branch: task/merchant-cms-settings-updates1	240	laravel,php,livewire,tailwind-css
2022-08-29	Homepage	Branch: task/frontend-pages-structure-views2	60	laravel,php,livewire,tailwind-css
2022-08-29	Move from Front to Ui	Branch: task/frontend-pages-structure-ui	60	laravel,php,livewire,tailwind-css
2022-08-29	Views and layouts	Branch: task/frontend-pages-structure-views	60	laravel,php,livewire,tailwind-css
2022-08-29	Controllers	Branch: task/frontend-pages-structure-controllers	60	laravel,php,livewire,tailwind-css
2022-08-29	Routes and test fixes	Branch: task/frontend-pages-structure-routes	60	laravel,php,livewire,tailwind-css,tdd
2022-08-29	Frontend Page Tests	Branch: task/frontend-pages-structure-tests	60	laravel,php,livewire,tailwind-css,tdd
2022-09-05	Test button	Branch: task/worldpay-integration-1-test-button	180	laravel,php,livewire,tailwind-css,tdd,payment-gateways,apis
